name,ring,quadrant,isNew,description
OAuth2,Adopt,Standards & Techniques,FALSE,
Java,Adopt,Languages & Frameworks,FALSE,
GraalVM,Hold,Languages & Frameworks,FALSE,
Jira,Adopt,Tools,FALSE,
GCP,Adopt,Platforms & Storage,FALSE,
Akka,Assess,Languages & Frameworks,FALSE,
Couchbase,Hold,Platforms & Storage,FALSE,
Groovy,Assess,Languages & Frameworks,FALSE,
Spock,Assess,Languages & Frameworks,FALSE,
Scala,Assess,Languages & Frameworks,FALSE,
Maven,Adopt,Languages & Frameworks,FALSE,
gRPC,Assess,Standards & Techniques,FALSE,
REST,Adopt,Standards & Techniques,FALSE,
GraphQL,Assess,Standards & Techniques,FALSE,
GitHub,Adopt,Tools,FALSE,
PostgreSQL,Assess,Platforms & Storage,FALSE,
FaceTech,Assess,Platforms & Storage,FALSE,
Regula,Assess,Platforms & Storage,FALSE,
SAML 2.0,Assess,Standards & Techniques,FALSE,
Flutter,Assess,Languages & Frameworks,FALSE,
React Native,Adopt,Languages & Frameworks,FALSE,
React,Assess,Languages & Frameworks,FALSE,
Typescript,Adopt,Languages & Frameworks,FALSE,
Appium,Assess,Languages & Framworks,FALSE,
Spring Boot,Adopt,Languages & Framworks,FALSE,
